"concept","word","country","gender","preference","id"
"Family nutrition","It has vitamin A and nutritious","Kenya","Female","Preferred",363
"Intercropping (with beans)","The size of the farm is small hence prefers intercropping","Kenya","Female","Preferred",364
"Livestock feed","She can plante early during the first rains of the year because it resistant hot weather conditions","Kenya","Female","Preferred",365
"Resilience","Grown in varying weather conditions","Kenya","Female","Preferred",366
"Intercropping (with beans)","High productivity as compared to other varieties when intercropped","Kenya","Male","Preferred",367
"Intercropping (with beans)","Ensures diversified harvests hence food security","Kenya","Male","Preferred",368
"Drought avoidance","Avoids drought by maturity within three and half months","Kenya","Male","Preferred",369
"Green maize","Is more suitable for green maize Market which is in short supply in this area","Kenya","Male","Preferred",370
"Home use","Ensures there`s enough food for my household","Kenya","Male","Preferred",371
"Food and fodder","It`s a multipurpose variety| used for food, fodder and can be sold","Kenya","Male","Preferred",372
"Drought avoidance","This variety will ensure food security even in times of drought, it also takes shorter time to mature","Kenya","Female","Preferred",373
"Home use","Provides food for the household and can be sold,","Kenya","Female","Preferred",374
"Resilience","It can do well in soils with low fertility","Kenya","Female","Preferred",375
"Drought avoidance","Short time to harvest High yield","Kenya","Female","Preferred",376
"Home use","It is very nutritious and can stay for long without getting destroyed by pests","Kenya","Male","Preferred",377
"Resilience","It can do well during drought It needs low amount of fertiliser","Kenya","Male","Preferred",378
"Food and fodder","It is good for both human consumption and also for feeding livestock such as chicken","Kenya","Female","Preferred",379
"Home use","It can be stored freely for long without going bad and us resilient to pests such as weevils","Kenya","Female","Preferred",380
"Resilience","The maize can be harvested and dried for human consumption. It can survive drought and attack by pests and diseases.","Kenya","Female","Preferred",381
"Livestock feed","The variety I can use and also feed my pigs and chicken.","Kenya","Female","Preferred",382
"Family nutrition","It is highly nutrious.","Kenya","Female","Preferred",383
"Resilience","The variety requires low amount of Fertiliser","Kenya","Male","Preferred",384
"Intercropping (with beans)","I`m used to planting intercropping variety.","Kenya","Female","Preferred",385
"Family nutrition","It will help cure malnutrition in the family","Kenya","Male","Preferred",386
"Drought avoidance","Because it can do well on dry season","Kenya","Female","Preferred",387
"Food and fodder","It has multiple uses","Kenya","Male","Preferred",388
"Food and fodder","It can be used for human consumption and animal fodder","Kenya","Female","Preferred",389
"Intercropping (with beans)","It`s good because in a small piece of land one gets multiple harvests Requires less amount of fertiliser","Kenya","Male","Preferred",390
"Resilience","It requires less amount of Fertiliser and still get a good harvest","Kenya","Male","Preferred",391
"Intercropping (with beans)","It requires less amount of Fertiliser and also can be intercropped with beans","Kenya","Male","Preferred",392
"Drought avoidance","Even during low rainfall I can still get to harvest a good amount","Kenya","Female","Preferred",393
"Intercropping (with beans)","If I have small piece of land I can intercrop it with beans and other crops","Kenya","Female","Preferred",394
"Drought avoidance","It is drought resilient maize variety and is ideal in my area","Kenya","Female","Preferred",395
"Resilience","Less use of fertilizers.","Kenya","Female","Preferred",396
"Intercropping (with beans)","intercropping helps to minimise spaces and use of fertilizers is less.","Kenya","Female","Preferred",397
"Drought avoidance","It is resistant to drought and diseases It matures in a short duration.","Kenya","Male","Preferred",398
"Food and fodder","High yields Used for both consumption and livestock feeds.","Kenya","Male","Preferred",399
"Food and fodder","It is used for both home consumption and livestock feeds.","Kenya","Male","Preferred",400
"Resilience","Because it is drought tolerant and also disease resistant","Kenya","Male","Preferred",401
"Livestock feed","Because it can be used as animal feed","Kenya","Female","Preferred",402
"Intercropping (with beans)","Because it got nitrogen","Kenya","Male","Preferred",403
"Family nutrition","It`s got vitamin A which is good for the farmer`s children","Kenya","Female","Preferred",404
"Intercropping (with beans)","Because of the double cobs meaning high yields","Kenya","Male","Preferred",405
"Food and fodder","Serves both purposes, food and animal feed.","Kenya","Female","Preferred",406
"Intercropping (with beans)","Intercropping with beans saves farming land space.","Kenya","Female","Preferred",407
"Family nutrition","The Vitamin A which is good for small children and overall health.","Kenya","Male","Preferred",408
"Resilience","It`s drought and disease resistance and it is multipurpose","Kenya","Female","Preferred",409
"Drought avoidance","Can do well under low rainfall.","Kenya","Female","Preferred",410
"Home use","It gives enough food to the farmer until the next harvesting season","Kenya","Female","Preferred",411
"Food and fodder","It gives enough Food and fodder","Kenya","Female","Preferred",412
"Resilience","It matures in sporadic and low rainfall environments","Kenya","Female","Preferred",413
"Drought avoidance","It`s resistance to pests and diseases","Kenya","Male","Preferred",414
"Resilience","Resilience factor","Kenya","Male","Preferred",415
"Family nutrition","Vitamins for good health","Kenya","Male","Preferred",416
"Drought avoidance","Low risk of crop loss","Kenya","Male","Preferred",417
"Resilience","Livestock farmer","Kenya","Female","Preferred",418
"Intercropping (with beans)","Harvesting both maize and beans","Kenya","Male","Preferred",419
"Home use","Can be stored for a long time without preserving","Kenya","Female","Preferred",420
"Resilience","Resistance to pests, higher yields","Kenya","Male","Preferred",421
"Food and fodder","Has benefits for both my livestock and household","Kenya","Male","Preferred",422
"Family nutrition","Its almost similar to ours in color","Kenya","Female","Preferred",423
"Intercropping (with beans)","High yields, can be intercropped with beans, soyabeans anf others","Kenya","Male","Preferred",424
"Family nutrition","It contains Vitamin A","Kenya","Female","Preferred",425
"Family nutrition","The colour,Vitamin A which is good for small children.","Kenya","Female","Preferred",426
"Resilience","Less fertilizer used,and its drought and disease resistance .","Kenya","Male","Preferred",427
"Intercropping (with beans)","The intercropping factor thus double yields.","Kenya","Male","Preferred",428
"Green maize","Grain size is big.","Kenya","Female","Preferred",429
"Food and fodder","The fact that it`s both home use as food and animal feed","Kenya","Male","Preferred",430
"Intercropping (with beans)","Because it is high yielding","Kenya","Male","Preferred",431
"Livestock feed","Because it can be used as animal feed","Kenya","Female","Preferred",432
"Home use","Because it can be used for home consumption","Kenya","Male","Preferred",433
"Intercropping (with beans)","It`s highly yielding as it produces double cobs","Kenya","Male","Preferred",434
"Drought avoidance","Because it is drought tolerant variety","Kenya","Male","Preferred",435
"Food and fodder","Prefer ugali and feeding livestock","Kenya","Female","Preferred",436
"Drought avoidance","Can resist draught","Kenya","Male","Preferred",437
"Resilience","Can survive in poor rains and can withstand pests","Kenya","Male","Preferred",438
"Family nutrition","Good nutritional content","Kenya","Male","Preferred",439
"Resilience","Can perform in poor soils","Kenya","Male","Preferred",440
"Drought avoidance","It`s drought resistance characteristics","Kenya","Male","Preferred",441
"Intercropping (with beans)","It can mature well when planted together with beans","Kenya","Female","Preferred",442
"Intercropping (with beans)","The seed concept variety gives double cobs per plant","Kenya","Female","Preferred",443
"Resilience","It can grow in sporadic and low rainfall environments","Kenya","Female","Preferred",444
"Home use","The seed concept variety can be stored for up to six months without being attacked by pests","Kenya","Female","Preferred",445
